, case_id,province,city,group,infection_case,confirmed,latitude,longitude
49,1200002,Daegu,Dalseong-gun,True,Second Mi-Ju Hospital,196,35.857375,128.466651
50,1200003,Daegu,Seo-gu,True,Hansarang Convalescent Hospital,124,35.885592,128.556649
51,1200004,Daegu,Dalseong-gun,True,Daesil Convalescent Hospital,101,35.857393,128.466653
52,1200005,Daegu,Dong-gu,True,Fatima Hospital,39,35.88395,128.624059
53,1200006,Daegu,from other city,True,Itaewon Clubs,2,-,-
54,1200007,Daegu,from other city,True,Cheongdo Daenam Hospital,2,-,-
55,1200008,Daegu,-,False,overseas inflow,41,-,-
56,1200009,Daegu,-,False,contact with patient,917,-,-
57,1200010,Daegu,-,False,etc,747,-,-
58,1300001,Gwangju,Dong-gu,True,Gwangneuksa Temple,5,35.136035,126.956405
59,1300002,Gwangju,from other city,True,Shincheonji Church,9,-,-
60,1300003,Gwangju,-,False,overseas inflow,23,-,-
61,1300004,Gwangju,-,False,contact with patient,5,-,-
62,1300005,Gwangju,-,False,etc,1,-,-
63,1400001,Incheon,from other city,True,Itaewon Clubs,53,-,-
64,1400002,Incheon,from other city,True,Coupang Logistics Center,42,-,-
65,1400003,Incheon,from other city,True,Guro-gu Call Center,20,-,-
66,1400004,Incheon,from other city,True,Shincheonji Church,2,-,-
67,1400005,Incheon,-,False,overseas inflow,68,-,-
68,1400006,Incheon,-,False,contact with patient,6,-,-
69,1400007,Incheon,-,False,etc,11,-,-
70,1500001,Daejeon,-,True,Door-to-door sales in Daejeon,55,-,-
71,1500002,Daejeon,Seo-gu,True,Dunsan Electronics Town,13,36.3400973,127.3927099
72,1500003,Daejeon,Seo-gu,True,Orange Town,7,36.3398739,127.3819744
73,1500004,Daejeon,Seo-gu,True,Dreaming Church,4,36.346869,127.368594
74,1500005,Daejeon,Seo-gu,True,Korea Forest Engineer Institute,3,36.358123,127.388856
75,1500006,Daejeon,from other city,True,Shincheonji Church,2,-,-
76,1500007,Daejeon,from other city,True,Seosan-si Laboratory,2,-,-
77,1500008,Daejeon,-,False,overseas inflow,15,-,-
78,1500009,Daejeon,-,False,contact with patient,15,-,-
79,1500010,Daejeon,-,False,etc,15,-,-
80,1600001,Ulsan,from other city,True,Shincheonji Church,16,-,-
81,1600002,Ulsan,-,False,overseas inflow,25,-,-
82,1600003,Ulsan,-,False,contact with patient,3,-,-
83,1600004,Ulsan,-,False,etc,7,-,-
84,1700001,Sejong,Sejong,True,Ministry of Oceans and Fisheries,31,36.504713,127.265172
85,1700002,Sejong,Sejong,True,gym facility in Sejong,8,36.48025,127.289
86,1700003,Sejong,from other city,True,Shincheonji Church,1,-,-
87,1700004,Sejong,-,False,overseas inflow,5,-,-
88,1700005,Sejong,-,False,contact with patient,3,-,-
89,1700006,Sejong,-,False,etc,1,-,-
90,2000001,Gyeonggi-do,Seongnam-si,True,River of Grace Community Church,67,37.455687,127.161627
91,2000002,Gyeonggi-do,Bucheon-si,True,Coupang Logistics Center,67,37.530579,126.775254
92,2000003,Gyeonggi-do,from other city,True,Itaewon Clubs,59,-,-
93,2000004,Gyeonggi-do,from other city,True,Richway,58,-,-
94,2000005,Gyeonggi-do,Uijeongbu-si,True,Uijeongbu St. Mary’s Hospital,50,37.758635,127.077716
95,2000006,Gyeonggi-do,from other city,True,Guro-gu Call Center,50,-,-
96,2000007,Gyeonggi-do,from other city,True,Shincheonji Church,29,-,-
97,2000008,Gyeonggi-do,from other city,True,Yangcheon Table Tennis Club,28,-,-
98,2000009,Gyeonggi-do,-,True,SMR Newly Planted Churches Group,25,-,-
99,2000010,Gyeonggi-do,Seongnam-si,True,Bundang Jesaeng Hospital,22,37.38833,127.1218
100,2000011,Gyeonggi-do,Anyang-si,True,Anyang Gunpo Pastors Group,22,37.381784,126.93615
101,2000012,Gyeonggi-do,Suwon-si,True,Lotte Confectionery logistics center,15,37.287356,127.013827
102,2000013,Gyeonggi-do,Anyang-si,True,Lord Glory Church,17,37.403722,126.954939
103,2000014,Gyeonggi-do,Suwon-si,True,Suwon Saeng Myeong Saem Church,10,37.2376,127.0517
104,2000015,Gyeonggi-do,from other city,True,Korea Campus Crusade of Christ,7,-,-
105,2000016,Gyeonggi-do,from other city,True,Geumcheon-gu rice milling machine manufacture,6,-,-
106,2000017,Gyeonggi-do,from other city,True,Wangsung Church,6,-,-
107,2000018,Gyeonggi-do,from other city,True,Seoul City Hall Station safety worker,5,-,-
108,2000019,Gyeonggi-do,Seongnam-si,True,Seongnam neighbors gathering,5,-,-
109,2000020,Gyeonggi-do,-,False,overseas inflow,305,-,-
110,2000021,Gyeonggi-do,-,False,contact with patient,63,-,-
111,2000022,Gyeonggi-do,-,False,etc,84,-,-
112,3000001,Gangwon-do,from other city,True,Shincheonji Church,17,-,-
113,3000002,Gangwon-do,from other city,True,Uijeongbu St. Mary’s Hospital,10,-,-
114,3000003,Gangwon-do,Wonju-si,True,Wonju-si Apartments,4,37.342762,127.983815
115,3000004,Gangwon-do,from other city,True,Richway,4,-,-
116,3000005,Gangwon-do,from other city,True,Geumcheon-gu rice milling machine manufacture,4,-,-
117,3000006,Gangwon-do,-,False,overseas inflow,16,-,-
118,3000007,Gangwon-do,-,False,contact with patient,0,-,-
119,3000008,Gangwon-do,-,False,etc,7,-,-
120,4000001,Chungcheongbuk-do,Goesan-gun,True,Goesan-gun Jangyeon-myeon,11,36.82422,127.9552
121,4000002,Chungcheongbuk-do,from other city,True,Itaewon Clubs,9,-,-
122,4000003,Chungcheongbuk-do,from other city,True,Guro-gu Call Center,2,-,-
123,4000004,Chungcheongbuk-do,from other city,True,Shincheonji Church,6,-,-
124,4000005,Chungcheongbuk-do,-,False,overseas inflow,13,-,-
125,4000006,Chungcheongbuk-do,-,False,contact with patient,8,-,-
126,4000007,Chungcheongbuk-do,-,False,etc,11,-,-
127,4100001,Chungcheongnam-do,Cheonan-si,True,gym facility in Cheonan,103,36.81503,127.1139
128,4100002,Chungcheongnam-do,from other city,True,Door-to-door sales in Daejeon,10,-,-
129,4100003,Chungcheongnam-do,Seosan-si,True,Seosan-si Laboratory,9,37.000354,126.354443
130,4100004,Chungcheongnam-do,from other city,True,Richway,3,-,-
131,4100005,Chungcheongnam-do,from other city,True,Eunpyeong-Boksagol culture center,3,-,-
132,4100006,Chungcheongnam-do,-,False,overseas inflow,16,-,-
133,4100007,Chungcheongnam-do,-,False,contact with patient,2,-,-
134,4100008,Chungcheongnam-do,-,False,etc,12,-,-
135,5000001,Jeollabuk-do,from other city,True,Itaewon Clubs,2,-,-
136,5000002,Jeollabuk-do,from other city,True,Door-to-door sales in Daejeon,3,-,-
137,5000003,Jeollabuk-do,from other city,True,Shincheonji Church,1,-,-
138,5000004,Jeollabuk-do,-,False,overseas inflow,12,-,-
139,5000005,Jeollabuk-do,-,False,etc,5,-,-
140,5100001,Jeollanam-do,Muan-gun,True,Manmin Central Church,2,35.078825,126.316746
141,5100002,Jeollanam-do,from other city,True,Shincheonji Church,1,-,-
142,5100003,Jeollanam-do,-,False,overseas inflow,14,-,-
143,5100004,Jeollanam-do,-,False,contact with patient,4,-,-
144,5100005,Jeollanam-do,-,False,etc,4,-,-
145,6000001,Gyeongsangbuk-do,from other city,True,Shincheonji Church,566,-,-
146,6000002,Gyeongsangbuk-do,Cheongdo-gun,True,Cheongdo Daenam Hospital,119,35.64887,128.7368
147,6000003,Gyeongsangbuk-do,Bonghwa-gun,True,Bonghwa Pureun Nursing Home,68,36.92757,128.9099
148,6000004,Gyeongsangbuk-do,Gyeongsan-si,True,Gyeongsan Seorin Nursing Home,66,35.782149,128.801498
149,6000005,Gyeongsangbuk-do,from other city,True,Pilgrimage to Israel,41,-,-
150,6000006,Gyeongsangbuk-do,Yechun-gun,True,Yechun-gun,40,36.646845,128.437416
151,6000007,Gyeongsangbuk-do,Chilgok-gun,True,Milal Shelter,36,36.0581,128.4941
152,6000008,Gyeongsangbuk-do,Gyeongsan-si,True,Gyeongsan Jeil Silver Town,17,35.84819,128.7621
153,6000009,Gyeongsangbuk-do,Gyeongsan-si,True,Gyeongsan Cham Joeun Community Center,16,35.82558,128.7373
154,6000010,Gyeongsangbuk-do,Gumi-si,True,Gumi Elim Church,10,-,-
155,6000011,Gyeongsangbuk-do,-,False,overseas inflow,22,-,-
156,6000012,Gyeongsangbuk-do,-,False,contact with patient,190,-,-
157,6000013,Gyeongsangbuk-do,-,False,etc,133,-,-
158,6100001,Gyeongsangnam-do,from other city,True,Shincheonji Church,32,-,-
159,6100002,Gyeongsangnam-do,Geochang-gun,True,Geochang Church,10,35.68556,127.9127
160,6100003,Gyeongsangnam-do,Jinju-si,True,Wings Tower,9,35.164845,128.126969
161,6100004,Gyeongsangnam-do,Geochang-gun,True,Geochang-gun Woongyang-myeon,8,35.805681,127.917805
162,6100005,Gyeongsangnam-do,Changwon-si,True,Hanmaeum Changwon Hospital,7,35.22115,128.6866
163,6100006,Gyeongsangnam-do,Changnyeong-gun,True,Changnyeong Coin Karaoke,7,35.54127,128.5008
164,6100007,Gyeongsangnam-do,Yangsan-si,True,Soso Seowon,3,35.338811,129.017508
165,6100008,Gyeongsangnam-do,from other city,True,Itaewon Clubs,2,-,-
166,6100009,Gyeongsangnam-do,from other city,True,Onchun Church,2,-,-
167,6100010,Gyeongsangnam-do,-,False,overseas inflow,26,-,-
168,6100011,Gyeongsangnam-do,-,False,contact with patient,6,-,-
169,6100012,Gyeongsangnam-do,-,False,etc,20,-,-
170,7000001,Jeju-do,-,False,overseas inflow,14,-,-
171,7000002,Jeju-do,-,False,contact with patient,0,-,-
172,7000003,Jeju-do,-,False,etc,4,-,-
173,7000004,Jeju-do,from other city,True,Itaewon Clubs,1,-,-
